Price,Cells,Capacity (mAh),Dollars per Wh,Link
$18.52,2,5000,0.50054,http://www.hobbyking.com/hobbyking/store/__21369___ZIPPY_Compact_5000mAh_2S_25C_Lipo_Pack.html
$22.23,3,4000,0.50068,http://www.hobbyking.com/hobbyking/store/__11612__Turnigy_4000mAh_3S_20C_Lipo_pack_Perfect_for_QRF400_.html
$51.98,7,4000,0.50174,http://www.hobbyking.com/hobbyking/store/__21364__ZIPPY_Compact_4000mAh_7S_25C_Lipo_Pack.html
$12.54,3,2250,0.5021,http://www.hobbyking.com/hobbyking/store/__7314__Rhino_2250mAh_3S_11_1v_25C_Lipoly_Pack_.html
$15.98,4,2150,0.5022,http://www.hobbyking.com/hobbyking/store/__9319__Rhino_2150mAh_4S_14_8v_25C_Lipoly_Pack.html
$13.04,4,1750,0.50347,http://www.hobbyking.com/hobbyking/store/__9337__Rhino_1750mAh_4S_14_8v_25C_Lipoly_Pack_.html
$30.28,6,2700,0.50517,http://www.hobbyking.com/hobbyking/store/__21352__ZIPPY_Compact_2700mAh_6S_25C_Lipo_Pack.html
$22.91,5,2450,0.50546,http://www.hobbyking.com/hobbyking/store/__25516__ZIPPY_Compact_2450mAh_5S_35C_Lipo_Pack.html
$15.16,3,2700,0.50584,http://www.hobbyking.com/hobbyking/store/__21349__ZIPPY_Compact_2700mAh_3S_25C_Lipo_Pack.html
$69.99,10,3700,0.51125,http://www.hobbyking.com/hobbyking/store/__21419__ZIPPY_Compact_3700mAh_10S_35C_Lipo_Pack.html
$49.99,8,3300,0.51177,http://www.hobbyking.com/hobbyking/store/__21408__ZIPPY_Compact_3300mAh_8S_35C_Lipo_Pack_.html
$49.99,6,4400,0.51177,http://www.hobbyking.com/hobbyking/store/__10090__Polyquest_XF_4400mAh_6S_45C_90C_Lipoly.html
$9.99,4,1300,0.51923,http://www.hobbyking.com/hobbyking/store/__9494__Turnigy_1300mAh_4S_20C_Lipo_Pack.html
$49.99,7,3700,0.52165,http://www.hobbyking.com/hobbyking/store/__21416__ZIPPY_Compact_3700mAh_7S_35C_Lipo_Pack_.html
$78.44,7,5800,0.52217,http://www.hobbyking.com/hobbyking/store/__21384__ZIPPY_Compact_5800mAh_7S_25C_Lipo_Pack.html
$67.24,6,5800,0.52221,http://www.hobbyking.com/hobbyking/store/__21383__ZIPPY_Compact_5800mAh_6S_25C_Lipo_Pack.html
$44.84,4,5800,0.52237,http://www.hobbyking.com/hobbyking/store/__21381__ZIPPY_Compact_5800mAh_4S_25C_Lipo_Pack.html
$12.79,3,2200,0.52375,http://www.hobbyking.com/hobbyking/store/__9394__Turnigy_2200mAh_3S_30C_Lipo_Pack.html
$49.00,5,5000,0.52973,http://www.hobbyking.com/hobbyking/store/__9175__Turnigy_5000mAh_5S_25C_Lipo_Pack.html
$39.21,4,5000,0.52986,http://www.hobbyking.com/hobbyking/store/__9179__Turnigy_5000mAh_4S_25C_Lipo_Pack.html
$58.91,6,5000,0.53072,http://www.hobbyking.com/hobbyking/store/__9180__Turnigy_5000mAh_6S_25C_Lipo_Pack_.html
$9.15,3,1550,0.53182,http://www.hobbyking.com/hobbyking/store/__7311__Rhino_1550mAh_3S_11_1v_20C_Lipoly_Pack_.html
$17.33,4,2200,0.53225,http://www.hobbyking.com/hobbyking/store/__21347__ZIPPY_Compact_2200mAh_4S_25C_Lipo_Pack.html
$3.64,3,610,0.53759,http://www.hobbyking.com/hobbyking/store/__7308__Rhino_610mAh_3S_11_1v_20C_Lipoly_Pack.html
$8.06,3,1350,0.53787,http://www.hobbyking.com/hobbyking/store/__7313__Rhino_1350mAh_3S_11_1v_25C_Lipoly_Pack.html
$29.97,3,5000,0.54,http://www.hobbyking.com/hobbyking/store/__9183__Turnigy_5000mAh_3S_25C_Lipo_Pack.html
$65.95,10,3300,0.54013,http://www.hobbyking.com/hobbyking/store/__21410__ZIPPY_Compact_3300mAh_10S_35C_Lipo_Pack.html
$17.42,4,2150,0.54745,http://www.hobbyking.com/hobbyking/store/__9320__Rhino_2150mAh_4S_14_8v_30C_Lipoly_Pack_.html
$40.55,5,4000,0.54797,http://www.hobbyking.com/hobbyking/store/__9512__Turnigy_4000mAh_5S_30C_Lipo_Pack.html
$6.39,3,1050,0.54826,http://www.hobbyking.com/hobbyking/store/__7309__Rhino_1050mAh_3S_11_1v_20C_Lipoly_Pack.html
$16.25,2,4000,0.54899,http://www.hobbyking.com/hobbyking/store/__9509__Turnigy_4000mAh_2S_30C_Lipo_Pack.html
$13.13,3,2150,0.55018,http://www.hobbyking.com/hobbyking/store/__9318__Rhino_2150mAh_3S_11_1v_30C_Lipoly_Pack_.html
$11.02,3,1800,0.55155,http://www.hobbyking.com/hobbyking/store/__9274__Turnigy_1800mAh_3S_20C_Lipo_Pack.html
$45.49,6,3700,0.55381,http://www.hobbyking.com/hobbyking/store/__21358__ZIPPY_Compact_3700mAh_6S_25C_Lipo_Pack.html
$22.77,3,3700,0.55442,http://www.hobbyking.com/hobbyking/store/__21355__ZIPPY_Compact_3700mAh_3S_25C_Lipo_Pack.html
$36.96,4,4500,0.55495,http://www.hobbyking.com/hobbyking/store/__21422__ZIPPY_Compact_4500mAh_4S_35C_Lipo_Pack.html
$38.05,5,3700,0.55588,http://www.hobbyking.com/hobbyking/store/__21357__ZIPPY_Compact_3700mAh_5S_25C_Lipo_Pack.html
$30.45,4,3700,0.55606,http://www.hobbyking.com/hobbyking/store/__21356__ZIPPY_Compact_3700mAh_4S_25C_Lipo_Pack.html
$15.25,2,3700,0.55698,http://www.hobbyking.com/hobbyking/store/__21354__ZIPPY_Compact_3700mAh_2S_25C_Lipo_Pack.html
$6.19,3,1000,0.55766,http://www.hobbyking.com/hobbyking/store/__9164__Turnigy_1000mAh_3S_25C_Lipo_Pack.html
$12.42,4,1500,0.55946,http://www.hobbyking.com/hobbyking/store/__21341__ZIPPY_Compact_1500mAh_4S_25C_Lipo_Pack.html
$6.63,2,1600,0.55997,http://www.hobbyking.com/hobbyking/store/__19952__Turnigy_1600mAh_2S_20C_Lipo_Pack_Losi_Mini_Compatible_.html
$27.39,6,2200,0.56081,http://www.hobbyking.com/hobbyking/store/__11913__Turnigy_nano_tech_2200mah_6S_25_50C_Lipo_Pack.html
$16.51,3,2650,0.56128,http://www.hobbyking.com/hobbyking/store/__9267__Turnigy_2650mAh_3S_30C_Lipo_Pack.html
$9.99,3,1600,0.5625,http://www.hobbyking.com/hobbyking/store/__9167__Turnigy_1600mAh_3S_20C_Lipo_Pack.html
$29.99,4,3600,0.56288,http://www.hobbyking.com/hobbyking/store/__9467__Turnigy_3600mAh_4S_20C_Lipo_Pack.html
$9.39,3,1500,0.56396,http://www.hobbyking.com/hobbyking/store/__21340__ZIPPY_Compact_1500mAh_3S_25C_Lipo_Pack.html
$10.87,4,1300,0.56497,http://www.hobbyking.com/hobbyking/store/__18202__Turnigy_nano_tech_1300mAh_4S_25_50C_Lipo_Pack.html
$8.42,4,1000,0.56892,http://www.hobbyking.com/hobbyking/store/__21335__ZIPPY_Compact_1000mAh_4S_25C_Lipo_Pack.html
$84.21,8,5000,0.56899,http://www.hobbyking.com/hobbyking/store/__21375__ZIPPY_Compact_5000mAh_8S_25C_Lipo_Pack.html
$16.11,3,2550,0.56916,http://www.hobbyking.com/hobbyking/store/__9613__Rhino_2550mAh_3S_11_1v_40C_Lipoly_Pack.html
$94.77,9,5000,0.56919,http://www.hobbyking.com/hobbyking/store/__21376__ZIPPY_Compact_5000mAh_9S_25C_Lipo_Pack.html
$13.51,4,1600,0.57052,http://www.hobbyking.com/hobbyking/store/__9495__Turnigy_1600mAh_4S_20C_Lipo_Pack.html
$105.65,10,5000,0.57108,http://www.hobbyking.com/hobbyking/store/__21377__ZIPPY_Compact_5000mAh_10S_25C_Lipo_Pack.html
$15.23,4,1800,0.5717,http://www.hobbyking.com/hobbyking/store/__9761__Turnigy_1800mAh_4S_20C_Lipo_Pack.html
$9.53,3,1500,0.57237,http://www.hobbyking.com/hobbyking/store/__9273__Turnigy_1500mAh_3S_20C_Lipo_Pack.html
$22.89,3,3600,0.57282,http://www.hobbyking.com/hobbyking/store/__9466__Turnigy_3600mAh_3S_20C_Lipo_Pack.html
$50.93,6,4000,0.57354,http://www.hobbyking.com/hobbyking/store/__21363__ZIPPY_Compact_4000mAh_6S_25C_Lipo_Pack.html
$8.49,4,1000,0.57365,http://www.hobbyking.com/hobbyking/store/__9624__Turnigy_1000mAh_4S_20C_Lipo_Pack.html
$33.97,4,4000,0.57382,http://www.hobbyking.com/hobbyking/store/__21361__ZIPPY_Compact_4000mAh_4S_25C_Lipo_Pack.html
$25.49,3,4000,0.5741,http://www.hobbyking.com/hobbyking/store/__21360__ZIPPY_Compact_4000mAh_3S_25C_Lipo_Pack.html
